visa.com  # VISA美国
visa.com.sg  # VISA新加坡
visa.com.hk  # VISA香港
visa.com.tw  # VISA台湾
visa.co.jp  # VISA日本
visakorea.com  # VISA韩国
visa.ca  # VISA加拿大
visa.co.uk  # VISA英国
visa.com.au  # VISA澳大利亚
visa.fr  # VISA法国
visa.de  # VISA德国
visa.in  # VISA印度
visa.it  # VISA意大利
visa.es  # VISA西班牙
visa.mx  # VISA墨西哥
visa.nl  # VISA荷兰
visa.co.nz  # VISA新西兰
visa.com.br  # VISA巴西
visa.se  # VISA瑞典
visa.ch  # VISA瑞士
visa.be  # VISA比利时
visa.no  # VISA挪威
visa.dk  # VISA丹麦
visa.fi  # VISA芬兰
visa.pt  # VISA葡萄牙
visa.gr  # VISA希腊
visa.pl  # VISA波兰
visa.at  # VISA奥地利
visa.co.za  # VISA南非
visa.sg  # VISA新加坡
visa.ae  # VISA阿联酋
visa.sa  # VISA沙特阿拉伯
visa.eg  # VISA埃及
visa.cn  # VISA中国
visa.id  # VISA印度尼西亚
visa.my  # VISA马来西亚
visa.ph  # VISA菲律宾
visa.kr  # VISA韩国
visa.th  # VISA泰国
visa.vn  # VISA越南
visa.tw  # VISA台湾
visa.lk  # VISA斯里兰卡
visa.pk  # VISA巴基斯坦
visa.jo  # VISA约旦
visa.qa  # VISA卡塔尔
visa.kw  # VISA科威特
visa.bh  # VISA巴林
visa.om  # VISA阿曼
visa.kz  # VISA哈萨克斯坦
visa.ua  # VISA乌克兰
visa.by  # VISA白俄罗斯
visa.bg  # VISA保加利亚
visa.ro  # VISA罗马尼亚
visa.hu  # VISA匈牙利
visa.cz  # VISA捷克
visa.sk  # VISA斯洛伐克
visa.hr  # VISA克罗地亚
visa.si  # VISA斯洛文尼亚
visa.rs  # VISA塞尔维亚
visa.ba  # VISA波黑
visa.mk  # VISA北马其顿
visa.al  # VISA阿尔巴尼亚
visa.mt  # VISA马耳他
visa.lv  # VISA拉脱维亚
visa.lt  # VISA立陶宛
visa.ee  # VISA爱沙尼亚
visa.md  # VISA摩尔多瓦
visa.am  # VISA亚美尼亚
visa.ge  # VISA格鲁吉亚
visa.mn  # VISA蒙古
visa.az  # VISA阿塞拜疆
visa.uz  # VISA乌兹别克斯坦
visa.tj  # VISA塔吉克斯坦
visa.kg  # VISA吉尔吉斯斯坦
visa.tm  # VISA土库曼斯坦
visa.af  # VISA阿富汗
visa.ir  # VISA伊朗
visa.iq  # VISA伊拉克
visa.sy  # VISA叙利亚
visa.ly  # VISA利比亚
visa.sd  # VISA苏丹
visa.et  # VISA埃塞俄比亚
visa.ke  # VISA肯尼亚
visa.ug  # VISA乌干达
visa.rw  # VISA卢旺达
visa.tz  # VISA坦桑尼亚
visa.mz  # VISA莫桑比克
visa.zm  # VISA赞比亚
visa.zw  # VISA津巴布韦
visa.na  # VISA纳米比亚
visa.bw  # VISA博茨瓦纳
visa.sz  # VISA斯威士兰
visa.mw  # VISA马拉维
visa.ga  # VISA加蓬
visa.gq  # VISA赤道几内亚
visa.cm  # VISA喀麦隆
visa.cg  # VISA刚果（布）
visa.cd  # VISA刚果（金）
visa.gn  # VISA几内亚
visa.lr  # VISA利比里亚
visa.si  # VISA塞拉利昂
visa.ne  # VISA尼日尔
visa.ml  # VISA马里
visa.sn  # VISA塞内加尔
visa.ci  # VISA科特迪瓦
visa.bf  # VISA布基纳法索
visa.gm  # VISA冯比亚
visa.gh  # VISA加纳
visa.ng  # VISA尼日利亚
visa.ws  # VISA萨摩亚
visa.fm  # VISA密克罗尼西亚
visa.gu  # VISA关岛
visa.as  # VISA美属萨摩亚
visa.mp  # VISA北马里亚纳群岛
visa.vi  # VISA美属维尔京群岛
visa.pr  # VISA波多黎各
visa.rw  # VISA卢旺达
visa.kg  # VISA吉尔吉斯斯坦
visa.mz  # VISA莫桑比克
visa.ng  # VISA尼日利亚
visa.la  # VISA老挝
visa.tm  # VISA土库曼斯坦
visa.gp  # VISA瓦尔多普岛
visa.ht  # VISA海地
visa.dm  # VISA多米尼加
visa.jm  # VISA牙买加
visa.tt  # VISA特立尼达和多巴哥
visa.cu  # VISA古巴
visa.hn  # VISA洪都拉斯
visa.gt  # VISA危地马拉
visa.pa  # VISA巴拿马
visa.cr  # VISA哥斯达黎加
visa.ni  # VISA尼加拉瓜
visa.sv  # VISA萨尔瓦多
visa.bz  # VISA伯利兹
visa.gt  # VISA危地马拉
visa.jm  # VISA牙买加
visa.py  # VISA巴拉圭
visa.sv  # VISA萨尔瓦多
visa.do  # VISA多米尼加共和国
visa.bm  # VISA百慕大
visa.tc  # VISA特克斯和凯科斯群岛
visa.gd  # VISA格林纳达
visa.cw  # VISA库拉索
visa.an  # VISA荷属安的列斯
visa.sb  # VISA所罗门群岛
visa.vu  # VISA瓦努阿图
visa.fm  # VISA密克罗尼西亚
visa.ws  # VISA萨摩亚
visa.ps  # VISA巴勒斯坦
visa.bg  # VISA保加利亚
visa.dz  # VISA阿尔及利亚
visa.eg  # VISA埃及
visa.mv  # VISA马尔代夫
visa.mz  # VISA莫桑比克
visa.gh  # VISA加纳
visa.ng  # VISA尼日利亚
visa.so  # VISA索马里
visa.cm  # VISA喀麦隆
visa.bj  # VISA贝宁
visa.lu  # VISA卢森堡
visa.sv  # VISA萨尔瓦多
visa.qa  # VISA卡塔尔
visa.kh  # VISA柬埔寨
visa.la  # VISA老挝
visa.kh  # VISA柬埔寨
visa.mn  # VISA蒙古
visa.sg  # VISA新加坡
visa.hu  # VISA匈牙利
visa.dk  # VISA丹麦
visa.cz  # VISA捷克
visa.lv  # VISA拉脱维亚
visa.lt  # VISA立陶宛
visa.ie  # VISA爱尔兰
visa.ch  # VISA瑞士
visa.mt  # VISA马耳他
visa.rs  # VISA塞尔维亚
visa.bv  # VISA博茨瓦纳
visa.sa  # VISA沙特阿拉伯
visa.om  # VISA阿曼
visa.af  # VISA阿富汗
cf.090227.xyz#三网自适应分流官方优选
ct.090227.xyz#电信官方优选
cmcc.090227.xyz#移动官方优选
shopify.com#优选域名
time.is#优选域名
icook.hk#优选域名
icook.tw#优选域名
ip.sb#优选域名
japan.com#优选域名
malaysia.com#优选域名
russia.com#优选域名
singapore.com#优选域名
skk.moe#优选域名
cf-cname.xingpingcn.top#优选域名
cfip.xxxxxxxx.tk#OTC提供维护官方优选
bestcf.onecf.eu.org#Mingyu提供维护官方优选
cf.zhetengsha.eu.org#小一提供维护官方优选
acjp2.cloudflarest.link#KJKKK维护官方优选
achk.cloudflarest.link#KJKKK维护官方优选
xn--b6gac.eu.org#第三方优选域名
yx.887141.xyz#第三方优选域名
8.889288.xyz#第三方优选域名
cfip.1323123.xyz#第三方优选域名
cf.515188.xyz#第三方优选域名
cf-st.annoy.eu.org#第三方优选域名
cf.0sm.com#第三方优选域名
cf.877771.xyz#第三方优选域名
cf.345673.xyz#第三方优选域名
bestproxy.onecf.eu.org#Mingyu提供维护反代优选
proxy.xxxxxxxx.tk#OTC提供维护反代优选
time.cloudflare.com#优选官方域名
www.gco.gov.qa#优选官方域名
www.gov.se#优选官方域名
www.gov.ua#优选官方域名
www.digitalocean.com#优选官方域名
www.csgo.com#优选官方域名
www.shopify.com#优选官方域名
www.whoer.net#优选官方域名
www.whatismyip.com#优选官方域名
www.ipget.net#优选官方域名
www.hugedomains.com#优选官方域名
www.udacity.com#优选官方域名
www.4chan.org#优选官方域名
www.okcupid.com#优选官方域名
www.glassdoor.com#优选官方域名
www.udemy.com#优选官方域名
www.baipiao.eu.org#优选官方域名
alejandracaiccedo.com#优选官方域名
log.bpminecraft.com#优选官方域名
www.boba88slot.com#优选官方域名
gur.gov.ua#优选官方域名
www.zsu.gov.ua#优选官方域名
www.iakeys.com#优选官方域名
edtunnel-dgp.pages.dev#优选官方域名
www.d-555.com#优选官方域名
fbi.gov#优选官方域名
www.sean-now.com#优选官方域名
download.yunzhongzhuan.com#优选官方域名
whatismyipaddress.com#优选官方域名
www.ipaddress.my#优选官方域名
www.pcmag.com#优选官方域名
www.ipchicken.com#优选官方域名
www.iplocation.net#优选官方域名
iplocation.io#优选官方域名
www.who.int#优选官方域名
www.wto.org#优选官方域名
wz.weishao2023.dk.eu.org #优选官方域名
cloudflare.cfgo.cc #优选官方域名
stock.hostmonit.com#优选官方域名 
www.lyzdzy.com#优选官方域名 
xs.wxtv.cc #优选官方域名
cf.zmdhc.com #优选官方域名
www.90dushu.com #优选官方域名
www.tushencn.com #优选官方域名
7sc.cc #优选官方域名
0550cq.com #优选官方域名
www.xinpian8.com #优选官方域名
www.c333.net #优选官方域名
www.7749tv.com #优选官方域名
www.888dyy.cc #优选官方域名
manmankan.cc #优选官方域名
www.ddwhm.com#优选官方域名
cdn-all.xn--b6gac.eu.org#优选官方域名
086181.xyz #第三方优选域名
yx.887141.xyz#第三方优选域名
8.889288.xyz#第三方优选域名
acjp2.cloudflarest.link#第三方优选域名
achk.cloudflarest.link#第三方优选域名
cf-st.annoy.eu.org#第三方优选域名
cf.0sm.com#第三方优选域名
xn--b6gac.eu.org#第三方优选域名
cf.877771.xyz#第三方优选域名
